                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 2.3783,                 1.7629,                0.87679,                0.47908,                 0.3132,                0.37152,                0.11109,                 2.6434,                 2.6068,                0.95383,             0.00044576,             0.00044576,             0.00044576
                     77,                 2.3786,                 1.8277,                0.87351,                0.46816,                0.29681,                0.36501,                0.10656,                 2.6301,                 2.6338,                0.95021,             0.00042925,             0.00042925,             0.00042925
                     78,                 2.2383,                 1.7125,                 0.8763,                0.44399,                0.31201,                 0.3531,                0.10007,                 2.6778,                 2.5263,                0.95841,             0.00041275,             0.00041275,             0.00041275
                     79,                  2.355,                  1.761,                0.87371,                0.45237,                0.33578,                0.37091,                0.11306,                 2.6054,                 2.4644,                0.94787,             0.00039625,             0.00039625,             0.00039625
                     80,                 2.3359,                 1.7731,                0.88244,                0.46458,                0.33603,                0.42089,                0.12766,                 2.5527,                 2.5164,                0.93894,             0.00037974,             0.00037974,             0.00037974
                     81,                 2.2508,                 1.6914,                0.87543,                0.47131,                0.34583,                0.42659,                0.12973,                 2.5778,                 2.5142,                0.94091,             0.00036324,             0.00036324,             0.00036324
                     82,                 2.3107,                 1.6417,                0.87805,                0.50293,                0.34694,                0.42523,                0.12231,                  2.619,                 2.5432,                0.94818,             0.00034674,             0.00034674,             0.00034674
                     83,                 2.2772,                    1.7,                0.87397,                0.49649,                0.34265,                0.36504,                0.11849,                 2.6317,                 2.5286,                0.95223,             0.00033023,             0.00033023,             0.00033023
                     84,                 2.3152,                 1.6825,                0.87652,                  0.495,                0.34265,                0.37272,                0.11896,                 2.6431,                 2.5737,                0.95104,             0.00031373,             0.00031373,             0.00031373
                     85,                 2.3065,                 1.7079,                0.84534,                0.48744,                0.34265,                0.37273,                0.11616,                 2.6525,                 2.5842,                0.95272,             0.00029723,             0.00029723,             0.00029723
                     86,                 2.2264,                 1.6588,                0.86098,                0.51777,                0.35098,                0.36911,                 0.1103,                 2.6486,                 2.5597,                0.95491,             0.00028072,             0.00028072,             0.00028072
                     87,                 2.2884,                 1.6371,                0.86716,                 0.4926,                0.32721,                0.33616,                0.09859,                 2.6918,                 2.5736,                0.96549,             0.00026422,             0.00026422,             0.00026422
                     88,                  2.422,                 1.6944,                0.87638,                0.48635,                0.33044,                0.32023,                 0.1003,                  2.694,                  2.596,                0.96604,             0.00024772,             0.00024772,             0.00024772
                     89,                 2.2997,                 1.6362,                0.89752,                0.48945,                0.31912,                0.34108,                0.11003,                 2.6391,                  2.646,                0.95793,             0.00023121,             0.00023121,             0.00023121
                     90,                  2.226,                 1.5876,                0.87578,                0.53178,                0.35417,                0.40144,                0.11957,                 2.6224,                 2.6684,                0.95265,             0.00021471,             0.00021471,             0.00021471
                     91,                 2.2733,                 1.7861,                0.89043,                0.51857,                0.34482,                0.39161,                0.11852,                 2.6229,                 2.6352,                0.94975,             0.00019821,             0.00019821,             0.00019821
                     92,                 2.1939,                 1.6503,                0.89017,                0.49054,                0.33407,                0.37326,                0.10625,                 2.6329,                 2.6462,                0.95013,              0.0001817,              0.0001817,              0.0001817
                     93,                 2.1807,                  1.607,                0.88979,                0.44541,                0.30662,                0.34092,                0.10274,                 2.6479,                  2.668,                0.95285,              0.0001652,              0.0001652,              0.0001652
                     94,                 2.3068,                 1.7133,                0.88904,                0.49747,                0.32623,                0.37623,                0.11484,                 2.6139,                 2.5726,                0.94448,              0.0001487,              0.0001487,              0.0001487
                     95,                 2.1905,                 1.7236,                0.87014,                0.49171,                   0.35,                0.40427,                0.13857,                 2.6041,                 2.4873,                0.93769,             0.00013219,             0.00013219,             0.00013219
                     96,                 2.1894,                  1.597,                 0.8799,                0.51612,                0.35833,                 0.4071,                0.13648,                 2.6101,                 2.4663,                0.94017,             0.00011569,             0.00011569,             0.00011569
                     97,                 2.2748,                 1.6328,                0.88323,                0.53023,                0.36221,                0.40252,                0.13096,                 2.6076,                  2.478,                0.94145,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 2.1186,                 1.6105,                0.86644,                0.48344,                0.36814,                0.39969,                0.12277,                 2.5975,                 2.5139,                0.94031,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 2.1709,                 1.5986,                0.88745,                0.49772,                0.37794,                0.41872,                0.12591,                 2.5912,                 2.5607,                0.94027,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                  2.172,                 1.6394,                0.88516,                0.47478,                0.36814,                0.39594,                0.11648,                 2.5927,                 2.5846,                0.94082,             4.9677e-05,             4.9677e-05,             4.9677e-05
